text,domain,intent,split
what do i do to have my paycheck deposited directly in my account,8,119,train
are you a machine,9,133,train
can you tell me how to spell manipulation,7,102,train
how many vacation and sick days have i taken,8,120,val
how do you start an essay,0,0,oos_test
text sal and tell them hi,7,105,train
you can address me as lizzie,10,147,train
i need the conversion between a cup and a tablespoon,7,100,test
change my amex pin to 1234,1,3,train
can you define the word schadenfreude,7,99,val
please tell me my income,8,113,train
what's the most practiced form of mma in the world,0,0,oos_test
when do i get my paycheck,8,111,val
im going to be in slovakia from january 16th until january 19th,6,77,train
my capital one visa was taken without permission,2,20,test
may i hear some music by fleet foxes,4,47,train
"send message to carl, you suck",7,105,val
i need to know what the point of life is,9,122,test
"can you tell me all of the things on my to do list for tomorrow, please",4,58,train
how many more vacation days can i use this year,8,115,train
i need to know the interest rate that applies to my personal loan,1,7,train
take frozen food off my shopping list,4,59,train
can i hear the male voice please,10,144,train
do i need to get any shots to travel to mexico,6,85,train
what's the process for getting an american express card,2,29,train
go ahead and close the reservation,3,42,train
repeat that once more,10,143,val
i need your help finding my lost phone,7,94,val
i need to set a meeting with tom at 6pm,8,118,train
do you know the name of this song,4,46,train
i want to be called tom,10,147,val
i need to know when should i get my oil changed next,5,62,train
savings account balance at chase bank please,1,12,train
i'd like to know what is on my shopping list,4,54,train
clear my calendar for september 6th,4,51,test
where do i find the routing number for wells fargo,1,2,train
what things are there to do in kentucky,6,83,train
i'd like to schedule some pto from 2/22 to 2/25,8,116,train
i need eggs; add them to my shopping list,4,59,test
i want you to switch to whisper mode,10,138,train
can you be quiet please,10,145,train
for italy what timezone is it in,6,81,train
where can i locate my routing number for chase please,1,2,val
"book a flight from key west, fl to san antonio, tx on 18 february 2019 and returning on 5 march 2019",6,87,train
are you real or automated,9,133,train
find out what wait times are like right now at olive garden,3,33,train
after how long should i change my oil,5,62,train
how much in taxes will i owe,8,112,test
check my calendar to see if an event called final exams exists,4,55,train
change to a different accent,10,144,val
can you slow down your speech,10,136,train
what interest rate am i getting from onewest bank,1,7,train
how long does this dish need to be in the oven,3,44,train
where can i get the flu shot,0,0,oos_test
can i use dark brown sugar instead of brown sugar,3,43,train
alter the pin on my savings account to be 1234,1,3,test
let's play the next song now,4,56,train
what timezone is reno in,6,81,train
i lost my card how do i report it,2,20,train
tell me my payroll account balance,1,12,train
i need for you to ask the question again,10,143,train
i need you to call the broker,7,97,train
can you tell me the nearest restaurant to me and give me directions,5,71,train
how soon does it take a card new card to get mailed to me,2,16,val
requesting money transfer between accounts,1,10,train
are you actually a bot,9,133,train
"after another eight days, what day will it be",7,93,train
i need a reminder,4,50,train
at the point when should i get my oil changed straightaway,5,62,val
please set an alarm for 5 am,7,92,train
what is the golden ratio's number,0,0,oos_test
"add the thong song by cisqo to my playlist, please",4,53,train
can you show ben and jerry where i am currently at,7,95,train
would you translate a phrase into mandarin for me,6,78,val
sign me up for the slack employment forum,0,0,oos_test
i was at walmart trying to buy toilet paper and my card got declined,2,21,val
how do you jump a car with a dead battery,5,75,train
"i don't want this song, move to the next",4,56,train
i'll soon be travelling internationally; could you let my bank know,6,77,train
what is the date of my last paycheck,8,111,train
what is the best way to kill microbes,0,0,oos_test
how does the traffic look on my way to work right now,5,65,val
phone lobby,7,97,train
can you get my car started,4,60,train
what's the definition of patriarchy,7,99,train
why is my dog vomiting after eating,0,0,oos_test
i thank you,9,130,train
what's the preparation time for spaghetti,3,44,train
please take final exams off my calendar for may 3,4,51,train
i need to know why my card declined yesterday,2,21,train
remind me to call my mother saturday morning,4,50,train
i want for you to connect to my phone,10,146,train
tell me my current credit rating,2,28,train
tell me the carry-on restrictions for united airlines,6,89,train
when's the gas bill due,1,4,train
pull up instructions on how to jump start a car,5,75,train
how many carry ons can i take on a flight with virgin airlines to vancouver bc,6,89,train
on what day do i have to pay my nordstrom bill,1,4,train
reserve a table for 3 under the name wheeler at andrea's steakhouse for 5pm,3,39,val
what should i call you,9,127,test
tell me some fun tourist attractions in london,6,83,test
where are some good thai restaurants in las vegas,3,41,train
who knows,10,150,train
what is the interest rate on my chase slate credit card,1,7,train
how do i order some more checks for my chase account,1,11,test
power up my generator,0,0,oos_test
check if meeting rooms are free from 6 to 7,8,118,train
what did you just ask,10,143,val
what's on my calendar for tuesday,4,55,train
perform a search for my most recent balance on my amex account,1,12,train
what's the shelf life for eggs in the fridge,3,31,train
tell me my credit score,2,28,train
can you remind me of the date,7,93,train
order a case of coke from amazon,4,57,val
how long do i have to pay that bill,1,4,val
speak more quickly,10,136,test
what kind of ingredients go into the chicken a la king,3,34,val
tell me my bank routing number,1,2,train
can i hear the complete to do list just dictated,4,58,train
"ai, what is my chase routing number",1,2,train
please turn on factory settings,10,149,test
what name do you like to go by,9,127,train
tell me the company that produces you and similar machines,9,121,train
call back my mom please,7,97,val
when will i need to change my oil again,5,62,train
i am thankful for your help!,9,130,train
tell me when ninety minutes have passed,7,96,train
how long does it take to get to virginia by bus,5,70,train
book me a car rental between january 1st to january 3rd in denver colorado and id prefer a ford,6,90,train
please repeat what you said,10,143,val
add laundry to my list of shit to do,4,48,train
what is the updated points that i earned with synovus card,2,26,test
"cancel my reservation for dinner, please",3,42,train
does more than one carry on cost extra at ryanair,6,89,val
when was the last time my car was in the shop,5,72,train
go past this song,4,56,train
one more time for me please,10,143,train
i need to know when to expect my next paycheck,8,111,train
turns out i made a fraudulent transaction,1,15,train
how long will it take me to drive to the park in west county,5,70,train
are any shots recommended before going to kenya,6,85,train
what hobbies do you like,9,125,train
i require a coin flip,7,101,train
what's my total net worth in all of my bank accounts,1,12,train
i dropped my card in my gasoline and the printing wore off,2,18,train
what information can you give me on the meaning of life,9,122,test
can i increase the credit limit on my maurices card,2,22,train
how many days so far have i taken off,8,120,train
i applied for a new credit card; did it process yet,2,27,train
do i need to inflate my tires,5,66,train
is traffic bad on the parkway,5,65,train
do you have a preference regarding what i should call you,9,127,train
can you play everlong by foo fighters,4,47,train
i need to know my spending limit on my visa,2,25,train
"i need you to order some more lysol for me,please",4,57,train
can you find the answer to number 26 in this algebra two textbook,0,0,oos_test
can i fly from atlanta to san francisco for less than 100 dollars,6,87,test
i need an uber for 5 to go to the concerthall,5,64,test
how do i switch insurance plans,8,108,test
can i hear the song after this one,4,56,val
what's is the current weather forecast,7,91,val
can you help me deal with this fraudulent transaction from verizon on my account,1,15,train
what are the pet types you own,9,124,train
can you switch off,10,145,train
how much did i spend the past 3 days,1,13,train
how many calories are in a cup of white rice,3,35,train
provide me assistance on where to go to get my w2 for tax reasons,8,117,train
how many vacation days do i have to spend,8,115,train
i need to report credit card theft,2,20,train
what is the interest rate i can get from the beginning of next year,1,7,train
"where can i get the employment form i need to do my taxes, please",8,117,train
please define erection for me,7,99,val
what was the latest tremor on the richter scale,0,0,oos_test
do i have an item on my todo list related to shopping,4,58,train
"is there anything fun to do in manassas, virginia",6,83,train
remove anniversary dinner from my calendar on april 5,4,51,train
does village inn let you make reservations,3,45,test
i have to report a lost visa card,2,20,train
will i make it to my current destination on this fuel tank,5,68,test
my credit card fell out of my back pocket and got flushed down the toilet,2,18,train
how many calories in peanuts,3,35,train
help me transfer $x from credit to debit,1,10,train
what are some of sweden's best sights,6,83,train
who sings this song,4,46,train
do you have any type of pet,9,124,train
what's 10 inches in centimeters and millimeters,7,100,train
are there any international transaction fees associated with my visa card,2,30,train
please add cleaning on my list to do,4,48,train
i want to book a hotel room for 10 people from monday to tuesday in manhattan,6,88,train
do my tires have enough air,5,66,train
can you find me a recipe for cake,3,37,train
remove chips from my shopping list,4,59,train
where was the last place i had my phone,7,94,train
can you tell me what timezone chicago is in,6,81,train
"will you guide me through the process to jump start my car, please",5,75,test
show my gps location to brittany,7,95,val
put wash the dog on my to do list please,4,48,val
delete ice cream from my shopping list,4,59,train
i need a new pin on my chase account,1,3,val
can you check the amount of calories in a chicken sandwich,3,35,test
please confirm my reservation for red robin at 9,3,32,train
any pets in your household,9,124,train
send me live feed of the pre-game prediction show on my phone,0,0,oos_test
how many pto days do i have remaining,8,115,train
remind me to call the vet tomorrow,4,50,train
i have how many vacation days left,8,115,train
"for anew card to be mailed to me, how long does it take",2,16,train
"siri, book a car rental to the poconos today right now",6,90,test
"book me a flight to jackson, mississippi from austin texas on american airlines",6,87,test
i need you to confirm my reservation for tomorrow at 3 pm,3,32,train
i wonder if it would be possible to switch from apples to grapes,3,43,val
are there any messages,0,0,oos_test
did i receive my paycheck this week,8,111,train
do you know if my reservation for dono is confirmed at 8 pm,3,32,train
how healthy are potato skins,3,36,train
can i have a 2 sided dice,7,104,test
how do i change my car oil,5,63,train
is it possible for you to whisper for me,10,138,train
when would it be wise for me to swap out my tires,5,74,val
compile a list of articles pertaining to venture capital funding for me,0,0,oos_test
advise me of my income,8,113,train
am i in charge of you,9,123,test
do you go by any nicknames,9,127,train
what do i need when i go shopping,4,54,train
play beatles,4,47,train
what's my oil change status,5,62,test
my interest rate please,1,7,train
say my name if you know it,10,137,train
is there travel alerts for greece,6,84,train
has the school my kids go to been in the news for any reason,0,0,oos_test
how many days later is it okay to eat curry that was in the fridge,3,31,test
are there international transaction fees for using my chase card,2,30,train
how many milliliters are in 2 gallons,7,100,test
show me all new transactions,1,14,val
how far am i from the beach right now,5,70,train
what cryptocurrency gained the most in 2018,0,0,oos_val
assist me with finding an uber to big ben,5,64,train
refer to me as bailey,10,147,test
what does the gas meter read,5,68,test
stopped by target to get a mug but my card declines,2,21,train
is there milk on my shopping list,4,54,train
i need to go downtown with 2 people; can you get me an uber,5,64,test
how many vacation days have i used up,8,120,train
so when was car in shop,5,72,train
"in terms of making scrambled eggs, what ingredients do i need",3,34,train
please add onto my phone,10,146,val
is the fuel economy of this car good or bad,5,69,train
what documents to i need to go to egypt,6,80,train
when do i need to change my oil again,5,62,train
what's the apr like for my credit card,2,23,train
how many calories are in a bag of regular doritos,3,35,train
how would i go about spelling malignant,7,102,val
let's hear a joke from you please,9,132,test
check my car's tire pressure,5,66,train
i can't make up my mind,10,150,train
what's the total of my bank accounts,1,12,train
i would like to start calling you heath,10,148,test
i want an alarm set up,7,92,train
i need some information on a recent transaction,1,14,train
silence,10,145,train
help me locate my phone,7,94,train
is there someone in the area who can check my engine light since it is on,5,67,train
how is my credit limit,2,25,train
do you know how busy outback steakhouse tends to be at 7:00 pm,3,33,train
stop talking you are annoying,10,145,test
go ahead and roll those dice,7,104,train
share with me a fun fact about outer space,9,126,train
let me know what my credit score is today,2,28,test
start playing the next track,4,56,train
do i need a visa to go to somewhere internationally,6,80,train
"i creased my card today, contact the bank",2,18,train
my luggage is missing i was on spirit flight ab123 from chicago,6,86,train
i wanna check my rewards for my credit card,2,26,test
whats the deadline for amex payment,1,4,train
does mexico require an international visa,6,80,train
how much is my gas bill,1,9,train
i want you to call me a different name so can you call me charchar,10,147,val
can i drink milk i've kept in the fridge since wednesday,3,31,train
do i have to get shots to enter cuba,6,85,val
"i need to get some assistance figuring out how i can rollover my 401k, please",8,114,train
can you find me a hotel in columbus with good reviews,6,88,train
"could you cancel that request, please",10,145,test
will it take more than a month to get a new card,2,16,val
i cannot recall the pin for my savings account,1,3,train
tell me things i can do in chicago,6,83,train
stop syncing with this phone,10,146,train
send a notification to my bank of my travel dates from february 19th to 26th to peru,6,77,test
what does discretionary mean,7,99,train
"ai, how many months old are you",9,134,train
can you tell me how i would normally say thank you as a french person,6,78,train
i need you to increase the speaker volume,10,140,train
how do i say thank you in spanish,6,78,val
before i make my mastercard payment can you tell me what i've recently charged on it,1,14,train
how long does pizza take to cook,3,44,train
what have my expenditures been at macys,1,13,train
can you roll a ten sided die and tell me the number,7,104,test
can i get a w2 form online,8,117,train
my friends call me sam,10,147,train
i want to pay my cable bill directly from my checking account,1,5,val
i have transactions on my card that aren't mine,1,15,train
find out why i can't log in to my bank of america account,1,6,val
i'm sure it could be either,10,150,train
what is my minimum payment and when is it due,1,8,test
what should i use the points from my credit card on,2,24,val
please text john,7,105,test
where can i find routing number for pnc,1,2,test
whats the most recent status for my virgin air flight,6,79,train
tell me who your maker was,9,121,test
where can i go to have my tires checked out,5,67,test
could you get everything on my shopping list,4,57,train
find me a book on motivational speaking from amazon,0,0,oos_test
double the speaking speed please,10,136,test
do you know where my cellphone is,7,94,val
what times are my meetings,8,110,train
how can you convert centimeters to inches,7,100,test
is it possible to make reservations at the new york restaurant,3,45,test
are there any reputable car rental places in seattle,6,90,train
i wanna know my credit card's rewards balance,2,26,test
please make your language setting norwegian,10,142,test
i am hoping you can put a stop on my bank account,1,1,test
how long is the ride to phoenix,5,70,train
that isn't right,10,141,test
put on my 90s playlist,4,47,test
"i wanted to remember somethings, what was it",4,49,val
what was the date when my car was in the shop,5,72,val
do you know where my package is,4,52,train
where do i see what interest my mortgage has,1,7,test
report my card as lost,2,20,train
what can i do since my car battery died,5,75,train
what meetings are on my schedule today,8,110,train
do i need a visa to travel to indonesia,6,80,test
please review my recent visa card transaction,1,14,test
would you please get your accent changed to the male british one,10,144,train
what's traffic usually like around 5pm going to the bank,5,65,train
how long does it take to cook roast beef,3,44,train
do i own you,9,123,test
can i do a reservation at sammy's crab shack,3,45,test
add coming undone by korn to my playlist,4,53,train
are there any meeting rooms free from 10:00 am until 10:30 am,8,118,train
how's my gas mileage in citys,5,69,val
can i use normal flour if i don't have bread flour,3,43,train
i broke my card when i bent my wallet,2,18,val
can you tell me how to jump my car,5,75,train
can i change what you call me,10,147,train
set a one hour timer,7,96,train
i need a hotel in new orleans from may 2 - 5 near the french quarter,6,88,train
any ideas on a good place to eat out,3,41,train
show me the minimum payment for my boat bill,1,8,train
what's the cooking time for chicken alfredo,3,44,train
what's on my calendar for march 20th,4,55,test
do you have an employer,9,123,train
will you get a coin and flip it,7,101,train
how can i take a bus to dallas,5,71,train
when does tiger woods play next,0,0,oos_test
how does measurement slugs convert to measurement lb,7,100,test
"can you translate this name into spanish for me, please",6,78,val
can you tell me a fun fact about elephants,9,126,train
has my vacation request been updated,8,106,train
when should i replace my tires sense i last replaced them on 3/21/17,5,74,train
what is the correct spelling for malignant,7,102,val
what's the day today,7,93,train
give me harry potter trivia,9,126,val
i have no idea where my luggage is,6,86,test
how long until i get my replacement card,2,16,test
i want you to tell me the minimum i can pay on my rent bill,1,8,train
what's the current amount of vacation owed to me,8,115,train
is this where i apply for a new credit card,2,29,test
reset to your natural settings,10,149,train
i need to know the title of this song,4,46,test
can you tell me the status of my card's apr,2,23,val
are there any travel alerts for antarctica,6,84,val
check: car gas mileage,5,69,test
what's the point of sentience,9,122,train
revise the ai name,10,148,train
i need to replace my credit card because i ran it over with the lawn mower,2,18,train
i want to schedule a meeting with tom for 6pm,8,118,train
what is your age again,9,134,val
can you suggest some of the most popular travel destination,6,83,val
do a virtual coin flip and tell me if i win as tails,7,101,train
what is the status of my online order of coffee pods,4,52,train
how many miles can i drive before needing the next oil change,5,62,train
what time does my ex-boss leave the office,0,0,oos_test
tell me when i last got paid,8,111,train
return it back to the original settings,10,149,train
tell me when i have to pay my bill,1,4,train
do i need a power adapter in mexico,6,76,train
i appeciate it,9,130,test
"if i lost my luggage, where can i get help",6,86,train
"so it seems i have had pizza in the fridge since monday, so is it safe to eat",3,31,train
what's playing right now,4,46,train
check my tires' air levels please,5,66,val
get me a hotel room for 3 people from march 12th to 14th in chicago,6,88,train
what do people think about the sandwiches at wendy's,3,38,train
sound the alarm at 6 am tomorrow,7,92,train
where should i travel if i want to visit some history museums,6,83,train
what is the timezone for new york,6,81,test
when is my meeting with dan scheduled for,8,110,train
can i reserve tables at the new york restaurant,3,45,test
what is our purpose here on earth,9,122,train
it appears my luggage is lost,6,86,test
i have much gratitude for your help,9,130,train
where was john denver born,0,0,oos_train
how would i say how are you today if i were mexican,6,78,test
how many miles before i run out of gas,5,68,train
i was on american airlines flight ab123 out of houston and i can't find my luggage,6,86,train
what is my income from work,8,113,train
tell me when my mastercard bill should be paid,1,4,val
how long does it take to cook a pork chop,3,44,train
will you buy me underpants,4,57,train
tell me how much in tax on this,8,112,train
how many calories does a scoop of chocolate ice cream have,3,35,train
tell me the nutrition info for a cup of milk,3,36,test
i want to know what the latest is on my vacation request i submitted,8,106,train
i need a good laugh,9,132,train
tell me if i have reservations at the back abbey at 6 pm,3,32,train
please send my location to haley,7,95,train
is it six o clock yet,7,103,test
how long should i cook chicken thighs,3,44,train
i need a flight for under 300 from pittsburgh to atlanta,6,87,test
"from now on, my name is tom",10,147,val
how long is the school year,0,0,oos_test
"how long before i get to dallas , in time, not miles",5,70,train
what is my routing number to my checking account at bb&t bankj,1,2,test
can someone look at my check engine light,5,67,test
how much did i spend on bills last month,1,13,val
i am david,10,147,train
"ai, routing number for my b of a checking account",1,2,train
how long before i can eat at chic fil a,3,33,test
which hospital is nearest to me,5,71,test
review of my card apr,2,23,train
at what point will i need another oil change,5,62,train
what kind of pets do you own,9,124,train
how do i change my oil and choose the right oil,5,63,train
does osteria francescana take reservations,3,45,test
show me the international transactions fees for the zenith card,2,30,train
i need to edit this event out of my calendar,4,51,train
i accidentally shredded my card,2,18,val
how do i change the language that your responses are delivered in,10,142,train
tell me some things to see in tampa,6,83,train
"add mary to my phone plan, please",0,0,oos_test
create a reminder to pay taxes on monday,4,50,train
can you tell me where my phone is,7,94,val
has my request for the day off been approved yet,8,106,train
can you tell me the best time to visit downtown when driving,0,0,oos_test
should i pump my tires,5,66,train
do i have any meetings today between 8 and 9,8,110,train
what are the necessary shots for travel to africa,6,85,train
which company can i credit your design to,9,121,train
can you tell me what's the car's tire pressure,5,66,train
what are my tax costs,8,112,val
report fraudulent activity on my credit card now,1,15,train
what's the title of this track,4,46,train
find the nutrition info for cucumbers for me,3,36,test
"order new checks, please",1,11,train
when is the next time i need to get an oil change,5,62,test
are transaction fees charged for my aaa card in canada,2,30,train
i do not recall the pin number to my card,1,3,test
"go ahead and flip that coin, i choose heads",7,101,train
does olive garden have good customer reviews,3,38,test
it was a pleasure talking to you,9,129,test
time zone in miami is what like,6,81,train
alert my bank and let them know that i'm travelling to china,6,77,train
send over a hundred dollars from huntington into saving,1,10,train
i have been spending a lot on food out lately,1,13,train
change the response language to french please,10,142,train
do you know the process to rollover my 401k,8,114,test
who invented custardo,0,0,oos_test
march 3rd needs to be cleared on my calendar,4,51,train
tell me if boston restaurant has good reviews,3,38,val
what do i pay currently in income taxes,8,112,train
suggest a good mexican meal to me,3,40,train
thanks a lot,9,130,train
when is the upcoming holiday,8,107,train
i need to reset my pin number,1,3,train
flip coin ai,7,101,val
set a reminder to go grocery shopping,4,50,train
"make this song part of the ""kids"" playlist",4,53,train
would you let me know what the meaning is life is,9,122,test
what lowers you credit score,2,19,train
the tv turn it on,4,60,test
help make changes to my insurance policy,8,108,train
"location currently, where",5,61,val
do i need a plug converter in doha,6,76,train
tell me how long i will need to spend preparing a meat loaf dish,3,44,train
i want to initiate a transfer from one account to the other,1,10,train
i am wanting to know who programmed you,9,121,train
how do i adjust my insurance policy,8,108,train
how can i change your name,10,148,train
can i substitute oregano for basil,3,43,train
put a tire inspection on my schedule please,5,67,train
switch over to low power mode to preserve battery life,0,0,oos_test
that is the wrong answer,10,141,test
when will my flight land,6,79,train
what is my salary right now,8,113,train
can you please tell me about the status of my credit card application,2,27,test
tell me what 1875 plus 3459 equals,7,98,test
can you get me a table for 4 at red lobster at 8pm,3,39,train
what do i have left to do on my to-do list,4,58,train
what's the typical wait time for mr joes pizza,3,33,test
i must know what the traffic is like on the way to phoenix,5,65,train
how do i start my own marketing firm,0,0,oos_train
show me where i am on a map,5,61,train
how long will a new card take to come in the mail,2,16,train
no is the answer,10,141,train
ring steven,7,97,train
can i get a w-2 from the post office,8,117,train
"i need to know what the current apr is for my chase sapphire, please",2,23,test
tell me what alternative means,7,99,train
give me the traffic at lexington,5,65,train
when did the oil get changed,5,72,val
when should i try to change my tires,5,74,train
usually people refer to me as brad,10,147,train
does burger king accept reservations,3,45,train
what are some natural remedies to help ease stress,0,0,oos_test
don't do this process,10,145,train
i'll need you to set a timer for 10 minutes,7,96,train
i need you to switch the language you are responding as i don't understand,10,142,test
how do i find my location right now,5,61,train
if i visit cairo will i need a plug converter,6,76,train
what type of vacation schedule do i have left,8,115,train
due to fraudulent activity on my card i need to make a report,1,15,train
look up the rate of exchange between pesos and usd,6,82,test
how do i slow down my ai's voice,10,136,train
please search for portland's timezone,6,81,train
do you know any greek dishes i could make for dinner,3,40,train
call an uber to take me to the closest grocery store,0,0,oos_test
what's the calorie content of chicken nuggets,3,35,test
can you share something interesting about world war one,9,126,train
how do i get to the leaning tower by bus,5,71,train
i need suggestions for good thai restaurants in las vegas,3,41,train
what's the day of the week,7,93,train
how long until you send me a replacement card,2,16,train
what is the lifespan of a border collie,0,0,oos_test
go back to initial settings,10,149,train
help me report my lost mastercard,2,20,train
how fast does an airplane travel,0,0,oos_train
put my points up for master card,2,26,train
tell me the value on my current car,0,0,oos_test
"revert to your factory settings, please",10,149,train
i wanna hear something cool about bees,9,126,test
is the brexit finalized yet,0,0,oos_val
tell me how to get my points from credit card use cashed in,2,24,test
look up the amount of vacation days i have used please,8,120,train
when is my next paycheck due,8,111,train
what may i call you,9,127,val
"looks like my card is being used by someone else, report it",1,15,val
that is not false,10,139,train
what shots do i need to get in order to travel to khartoum,6,85,train
what is the name of this song,4,46,train
fill me in on the apr for my american express card,2,23,train
my bank needs to be aware of my trip to spain,6,77,val
how long does it take to get your yellow belt in karate,0,0,oos_test
how long can i leave pizza in the fridge,3,31,train
roll a die,7,104,train
what questions are permissible,9,135,train
tell me what the hot topics are that are trending on google,0,0,oos_test
"for pasta primavera, what ingredients will i use",3,34,val
let me know what my interest rate is,1,7,train
how can i apply for a discover card,2,29,train
can you order some ointment for me,0,0,oos_test
what is the shelf life for beef in the freezer,3,31,train
please start the song penny lane,4,47,val
set a reminder for me to call my brother at 8 pm,4,50,train
can i get assistance with booking a seattle car rental,6,90,train
send mom a message i'll talk to you later,7,105,train
let sal know by text i will be attending,7,105,train
i'm traveling to fresnosoon and want to inform my bank,6,77,train
that would be awesome,10,139,train
you are so thoughtful and i appreciate your gesture,9,130,train
what would be a fun fact about cats,9,126,train
can you sell stocks for me,0,0,oos_test
why does my credit union account have a hold on it,1,6,train
show me the expiration date for my visa card,2,17,test
how much is in savings,1,12,train
i'd like to be called frank,10,147,train
set up payroll direct deposit to my checking account,8,119,train
what are the health benefits i have,8,109,train
how can i make my living room appear to be bigger than it is,0,0,oos_test
yes that's it,10,139,train
do you know about carry ons out of tampa with spirit,6,89,train
how many birthdays have you had,9,134,val
what's the current timezone in barcelona,6,81,train
how much is my apr on my bank of america card,2,23,train
what is on my shopping list,4,54,val
can you put smooth operator by sade on my playlist,4,53,train
what plug does colombia use,6,76,val
you need to reset your factory settings,10,149,train
how about a coin flip,7,101,train
what's the nutritional information of iceberg lettuce,3,36,train
send a text to mom i'll talk to you later,7,105,train
text john with the message 'where are you,7,105,val
can i use flour as a substitute for bread crumbs,3,43,train
i need laundry put on my list of tasks to complete,4,48,train
what is the friendliest breed,0,0,oos_val
what are my health benefits like,8,109,val
who do i report card theft to,2,20,train
which vaccines are meant for cuba,6,85,test
convert 100 dollars to euros,6,82,val
how long until i need to change my tires,5,74,train
what is on my calander for valentines day,4,55,train
i wanna know my credit rating now,2,28,train
that turns out to be false,10,141,train
what are some popular tourist activities in mexico city,6,83,test
what number of calories are in a pizza,3,35,test
can you let me know if it will be warm this week,7,91,train
i need to know how to schedule a meeting,8,118,test
let's try whisper mode,10,138,val
should i get any shots before i go to south africa,6,85,train
i don't know where i put my phone,7,94,train
what time i have to meet mr accountant,8,110,train
i need to know how jumping a car works,5,75,train
know any jokes,9,132,train
can you tell me what gas this car takes,5,73,test
please put my acupuncture appointment on my to list,4,48,train
how many meters are in 50 feet,7,100,train
when did i last have my vehicle serviced,5,72,train
how long can i expect to wait for a new card,2,16,train
what do you find fun,9,125,val
who directs your labor,9,123,train
can you help me figure out how to utilize my credit card points,2,24,train
"i need to find work, help me connect to a local business through linkedin",0,0,oos_test
please share today's date,7,93,train
tell me what the status is for my aa flight,6,79,test
can you tell me if your a bot,9,133,test
today is the day i should pay my electric bill,1,5,test
when is the next time i should change my oil,5,62,test
where do i find my w-2 form,8,117,val
are there some good thai restaurants in san antonio,3,41,train
order more checks,1,11,train
can i put normal unleaded in this car,5,73,train
double check my reservation under adam for outback steakhouse,3,32,train
are you alive,9,133,train
"hello, anyone there",9,131,train
"please set two alarms, one at 12 pm and the next at 1 pm",7,92,train
what is the due date for my next oil change,5,62,train
when do i pay the utilities,1,4,train
"between 9:00 am and 11:00 am, are there meeting rooms available",8,118,train
can you tell me how to apply for a western card,2,29,train
do you know who you came from,9,121,train
how many holidays are there and when is the next one here,8,107,test
remind me to take out the garbage in the morning,4,50,train
can i increase my credit limit to 1200 dollars,2,22,train
i need to know how to do direct deposit with my paycheck at nations bank,8,119,test
when do i need an oil change,5,62,train
what are my mastercard points good for,2,24,test
please suggest a british meal for me,3,40,train
tell the meaning of life,9,122,train
can you please instruct me on the proper way to change the oil in my car,5,63,test
remind me,4,50,train
"i can't find my visa card and i want to report it as lost, please",2,20,train
what are today's travel advisories,6,84,train
how do i get to the movie theater by bus,5,71,val
what steps do i need to take to report a card lost,2,20,test
what are popular mountains to hike in arizona,6,83,val
"can you tell me what's on my calendar for march 05, 2019",4,55,train
can you assure me i have a table at taco bell at 7pm,3,32,train
i made a reservation under mark hamil at the emporium that i don't need any more,3,42,train
when will it rain next,7,91,train
give me a list of international transaction fees for my amex,2,30,train
what other countries speak the english language,0,0,oos_test
how long will my milk be good in the fridge,3,31,train
tell me the expiry month of my card,2,17,train
"who is your superior, please",9,123,val
i need to do a fair coin flip,7,101,train
"when is the next scheduled holiday, please",8,107,train
walk me through reward redemption from my barclay's card,2,24,train
where can i get some good food,3,41,test
i want to find out what my credit score is,2,28,train
"sorry, that is not true",10,141,train
where do i go the transfer my 401k,8,114,train
change sound setting to whisper,10,138,test
where were you born,9,128,train
any news on my vacation,8,106,test
is it okay to use applesauce instead of oil,3,43,test
my day offs history,8,120,val
how much paid time off have i earned to date,8,115,train
when should i expect my visa to expire,2,17,train
change accent to male british,10,144,train
help me rollover my 401k,8,114,test
could you tell me the meaning of life,9,122,train
"my engine light came on, so i need to get help",5,67,train
what is my wells fargo card's rewards balance,2,26,train
what date is tomorrow,7,93,train
can you send a text to someone,7,105,train
can you tell me what you call me,10,137,train
add to my motivational playlist rap god,4,53,test
"yesterday, my card was declined",2,21,train
what is my current location,7,95,test
"the song that's on, add it to my favorite playlist",4,53,train
how many miles before i need my tires changed,5,74,train
"hey, stop talking like you're a stretch taped",10,136,train
let me know who made you,9,121,train
"who is your supervisor, please",9,123,val
are there fees for using my card in tampa,2,30,train
"in the mst time zone, what time is it right now",7,103,train
send my brother mike a text that says i'm home,7,105,train
what time is it in phoenix,6,81,test
i need to book a reservation for 3 at xenophobe under the name zebee,3,39,val
how long does it take to replace a lost card,2,16,train
i need to let my bank know i will be in america from april to may,6,77,val
how much did i earn in income only last year,8,113,train
what do you like to do in your spare time,9,125,train
"how old are you, ai",9,134,train
can you remember who compiled you,9,121,train
what do i have on my list of reminders,4,49,train
what type of gas do i need to use in this car,5,73,train
do you know why my account is blocked,1,6,train
put in a pto request for me i want it for the ninth and the tenth of august,8,116,train
could you tell me what the status of my day off request is,8,106,train
can you check the status of my credit card application,2,27,train
what do i do for a dead car battery,5,75,train
inform me of my credit score,2,28,train
what side in chess has the general advantage,0,0,oos_val
what place are you from,9,128,test
what's the best career search website,0,0,oos_test
play my post-rock playlist,4,47,train
what is the necessary amount of time required to prepare pot roast,3,44,train
i would like nutrition facts for spaghetti carbonara,3,36,test
are there 8pm tables available at texas roadhouse,3,39,val
how can i get my credit limit to be increased to $1000,2,22,test
